Q1_a,Q2_a,Q3_a,Q4_a,Q5_a,Q6_a,Q7_a,Q8_a,Q1_b,Q2_b,Q3_b,Q4_b,Q5_b,Q6_b,Q7_b,Q8_b
5,6,5,5,6,5,6,5,6,6,5,5,6,5,6,5
6,6,5,5,5,6,5,5,6,6,6,5,6,6,6,6
5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,4
5,5,5,5,5,5,3,5,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
5,5,3,5,5,5,3,4,5,5,5,5,5,5,5,5
5,5,3,5,4,5,5,3,5,5,5,5,4,5,5,4
4,4,4,4,4,5,5,3,4,5,4,4,4,4,5,4
5,5,5,5,5,4,6,4,5,6,5,5,5,5,6,5
5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,5
6,6,5,5,5,5,6,4,6,6,5,5,5,5,6,4
5,6,6,6,6,6,6,4,5,6,6,5,6,6,6,6
6,5,6,6,5,6,5,4,6,5,6,6,5,6,6,6
4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5
5,6,5,5,5,5,6,3,5,5,5,5,5,5,6,5
,5,,,5,,5,3,5,5,5,5,5,5,6,5
5,6,3,3,5,5,5,5,5,5,5,5,5,5,5,5
3,4,4,3,4,3,4,5,4,5,4,4,4,4,5,5
5,5,5,5,5,5,5,5,,,,,,,,
5,5,5,5,5,5,4,5,6,6,6,6,6,6,6,6
4,5,5,5,5,5,5,4,4,4,4,4,4,4,6,5
6,6,5,5,5,5,5,5,6,6,5,5,5,6,6,6
3,5,5,4,4,5,6,5,6,6,6,5,6,6,6,5
5,5,5,4,4,5,6,6,5,5,5,6,5,5,6,6
4,5,4,4,3,4,5,4,5,6,5,5,5,5,6,6
3,4,4,3,3,3,4,3,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5
4,4,4,,,3,5,4,7,7,7,7,7,7,6,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,6,5,4,5,,3,4,5,6,6,6,6,7,6,6
5,5,5,5,5,5,3,5,5,5,5,5,6,5,6,5
5,3,4,5,4,5,5,5,5,5,5,6,5,5,6,6
6,6,6,4,4,4,5,5,6,6,6,5,5,6,6,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,5,5,4,5,5,3,4,6,6,5,5,6,5,6,4
5,3,5,3,5,5,5,4,5,5,5,5,5,5,5,5
3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5
6,6,6,6,5,6,5,5,6,6,6,6,5,6,6,5
3,4,4,4,3,3,5,5,6,6,6,6,6,6,6,6
5,6,5,6,6,6,3,3,6,6,6,6,6,6,6,6
5,6,5,5,5,5,5,5,5,6,6,6,5,6,6,6
4,5,3,4,4,4,5,4,5,5,5,5,5,5,5,6
,5,,4,4,4,5,4,5,5,7,5,5,4,5,3
5,5,5,5,5,5,5,5,6,5,5,5,5,6,5,5
5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
4,5,5,4,4,4,5,4,6,6,5,5,5,5,6,5
6,6,5,5,5,5,5,5,6,6,6,6,6,5,5,5
5,6,6,6,5,5,3,5,6,6,6,6,5,6,6,6
6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,4,5,5,,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,6,6,5,5,6,4,6,6,6,6,6,6,6,6,6
5,6,3,5,5,5,6,3,6,5,5,6,5,5,4,4
4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,4
3,6,6,6,6,6,3,6,6,6,5,6,6,6,6,6
5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
,5,3,5,5,,4,5,6,6,6,6,5,5,5,5
6,6,5,5,5,5,5,5,5,5,6,5,5,6,6,6
5,5,3,4,5,5,6,6,6,6,6,6,6,6,6,6
3,3,4,4,3,3,5,4,5,5,4,4,4,5,6,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6
5,6,5,3,5,6,5,6,6,6,6,6,6,6,6,6
5,5,4,4,4,4,3,4,4,5,4,5,5,4,5,4
3,6,5,5,5,4,1,6,6,6,6,6,6,6,6,6
5,6,4,5,5,4,5,6,6,6,6,6,6,7,6,6
5,5,3,5,5,5,3,6,6,6,6,6,4,6,6,5
6,5,4,6,4,4,6,5,4,4,5,5,4,4,5,5
5,4,,3,,4,4,4,5,5,5,5,5,5,5,6
5,5,5,5,5,5,5,5,5,6,5,4,4,4,6,5
4,5,3,2,2,,4,3,5,5,5,5,5,5,5,5
